airlineFsCode,directs,allOntimeCumulative,allStars,delayObservations,ontimePercent,delayStandardDeviation,codeshares,delayMax,arrivalAirportFsCode,delayMin,allDelayCumulative,allDelayStars,allOntimeStars,late45,observations,diverted,ontime,flightNumber,delayMean,late15,cancelled,late30,departureAirportFsCode,req_carrier,req_flightNumber,req_origin,req_dest
WN,0,0.98610002,4.6500001,9,0.93181819,9.6881943,0,25,MCO,0,0.88489997,4.4000001,4.9000001,0,44,0,41,349,7,2,1,0,CMH,SWA,349,DCA,ATL
WN,0,0.9332,3.9000001,1,1,0,0,13,ELP,13,0.61790001,3.0999999,4.6999998,0,8,0,8,349,13,0,0,0,DAL,SWA,349,DCA,ATL
WN,0,0.9332,3.5999999,0,1,0,0,0,ATL,0,0.5,2.5,4.6999998,0,8,0,8,349,0,0,0,0,DCA,SWA,349,DCA,ATL
WN,0,0.69150001,3,0,1,0,0,0,LAS,0,0.5,2.5,3.5,0,1,0,1,349,0,0,0,0,ELP,SWA,349,DCA,ATL
WN,0,0.9332,4.3000002,3,1,2.6457512,0,8,DAL,3,0.7881,3.9000001,4.6999998,0,8,0,8,349,5,0,0,0,FLL,SWA,349,DCA,ATL
WN,0,1,4.1500001,2,0.97727275,2.8284271,0,15,ATL,11,0.65539998,3.3,5,0,44,0,43,349,13,1,0,0,RIC,SWA,349,DCA,ATL
WN,0,0.9332,4.0999999,2,1,6.3639612,0,14,FLL,5,0.69150001,3.5,4.6999998,0,8,0,8,349,9,0,0,0,ATL,SWA,349,DCA,ATL
WN,0,1,4.4000001,4,0.97727275,7.0474582,0,19,CMH,2,0.75800002,3.8,5,0,44,0,43,349,10,1,0,0,ATL,SWA,349,DCA,ATL
WN,0,0.080799997,0.80000001,21,0.72093022,40.023266,0,157,STL,0,242,1.2,0.40000001,3,43,0,31,258,30,6,0,3,LAX,SWA,258,GSP,ATL
WN,0,0.75800002,2.8499999,1,0.8888889,0,0,33,ATL,33,0.38209999,1.9,3.8,0,9,0,8,258,33,0,0,1,GSP,SWA,258,GSP,ATL
WN,0,0.75800002,3.05,3,0.8888889,27.209066,0,57,TPA,8,0.46020001,2.3,3.8,1,9,0,8,258,25,0,0,0,PHL,SWA,258,GSP,ATL
WN,0,0.42070001,2.0999999,5,0.77777779,26.873779,0,68,PHL,6,0.42070001,2.0999999,2.0999999,1,9,0,7,258,27,0,0,1,ATL,SWA,258,GSP,ATL
WN,0,0.9332,4.0999999,1,1,0,0,3,MSY,3,0.69150001,3.5,4.6999998,0,9,0,9,3344,3,0,0,0,DAL,SWA,3344,MSY,ATL
WN,0,0.9332,4.4499998,5,1,3.9115214,0,10,ATL,1,0.84130001,4.1999998,4.6999998,0,9,0,9,3344,5,0,0,0,MSY,SWA,3344,MSY,ATL
WN,0,0.9332,4.25,3,1,7.0237694,0,14,ISP,0,0.75800002,3.8,4.6999998,0,8,0,8,3344,7,0,0,0,PBI,SWA,3344,MSY,ATL
WN,0,0.9192,4.1999998,2,1,2.8284271,0,5,DAL,1,0.75800002,3.8,4.5999999,0,7,0,7,3344,3,0,0,0,ABQ,SWA,3344,MSY,ATL
WN,0,0.9332,4.4499998,4,1,2.2173557,0,5,PBI,0,0.84130001,4.1999998,4.6999998,0,9,0,9,3344,3,0,0,0,ATL,SWA,3344,MSY,ATL
WN,0,0,0.050000001,21,0.6511628,47.122181,0,141,DEN,0,0.0287,0.1,0,5,43,0,28,1368,42,7,0,3,SFO,SWA,1368,TPA,ATL
WN,0,0.9332,4.3000002,2,1,2.1213202,0,3,ATL,0,0.7881,3.9000001,4.6999998,0,8,0,8,1368,1,0,0,0,TPA,SWA,1368,TPA,ATL
WN,0,0.9332,3.5999999,0,1,0,0,0,FLL,0,0.5,2.5,4.6999998,0,9,0,9,1368,0,0,0,0,DCA,SWA,1368,TPA,ATL
WN,0,0.9332,4.3000002,2,1,0,0,0,TPA,0,0.7881,3.9000001,4.6999998,0,8,0,8,1368,0,0,0,0,FLL,SWA,1368,TPA,ATL
WN,0,0.9332,4.4499998,3,1,2.8867514,0,5,RIC,0,0.84130001,4.1999998,4.6999998,0,8,0,8,1368,1,0,0,0,ATL,SWA,1368,TPA,ATL
F9,0,0.75800002,1.95,1,0.8888889,0,0,115,PHX,115,0.017899999,0.1,3.8,1,9,0,8,1539,115,0,0,0,ATL,FFT,1539,ATL,PHX
OO,0,0.1587,1.15,8,0.69230771,40.73959,0,109,RNO,3,0.30849999,1.5,0.80000001,2,13,0,9,3536,31,2,0,0,SLC,SKW,3536,CHA,ATL
OO,0,0.69150001,3,0,1,0,0,0,OKC,0,0.5,2.5,3.5,0,1,0,1,3536,0,0,0,0,SLC,SKW,3536,CHA,ATL
